2026-07-15 23:08:29,659 INFO Кандидатов по селектору Фазы 0: 90
2026-07-15 23:08:29,660 INFO   SA     : 26
2026-07-15 23:08:29,660 INFO   SA_COM : 64
2026-07-15 23:08:29,660 INFO   уже requires_attachment=true (будут пропущены): 0

task_id | course | type    | manual | req_att | stem
------------------------------------------------------------------------------------------
   6155 |    924 | SA      | true   | None    | Поставь библиотеку командой pip install pytelegrambotapi, собери файл bot.py из урока, вст
   6157 |    924 | SA      | true   | None    | Вынеси токен в файл config.py, добавь обработчик /start, но поменяй фразу на свою (не «При
   6159 |    924 | SA      | true   | None    | Собери Бот-Эхо по коду из урока (приветствие на /start оставь своё). Проверь, что /start з
   6167 |    925 | SA      | true   | None    | Поставь библиотеку командой pip install pytelegrambotapi, собери файл bot.py из урока, вст
   6170 |    926 | SA      | true   | None    | Вынеси токен в файл config.py, добавь обработчик /start, но поменяй фразу на свою (не «При
   5831 |    927 | SA      | true   | None    | Собери Бот-Эхо по коду из урока (приветствие на /start оставь своё). Проверь, что /start з
   6164 |    929 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">@bot.message_hand
   6166 |    929 | SA      | true   | None    | Сделай команду /menu с 2-3 inline-кнопками, на каждую свой ответ. Не забудь answer_callbac
   6184 |    930 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">@bot.message_hand
   6187 |    931 | SA      | true   | None    | Сделай команду /menu с 2-3 inline-кнопками, на каждую свой ответ. Не забудь answer_callbac
   6172 |    933 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">@bot.message_hand
   5839 |    935 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">@bot.message_hand
   6175 |    937 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">import telebot
fr
   6177 |    937 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">@bot.callback_que
   6201 |    938 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">import telebot
fr
   6206 |    939 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">@bot.callback_que
   6183 |    941 | SA      | true   | None    | Подключи sqlite3, сделай функции сохранить и достать имя, перепиши память Бот-Памятки на S
   6209 |    943 | SA      | true   | None    | Собери Бот-Памятку: функции zagruzit и sohranit, память об имени. Назови боту имя, перезап
   6210 |    944 | SA      | true   | None    | Подключи sqlite3, сделай функции сохранить и достать имя, перепиши память Бот-Памятки на S
   6189 |    945 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">import telebot
im
   6212 |    947 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">import telebot
im
   6213 |    948 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-python">@bot.callback_que
   6197 |    953 | SA      | true   | None    | Создай сообщество ВКонтакте, включи в нём сообщения, получи ключ доступа с правами на сооб
   6217 |    954 | SA      | true   | None    | Создай сообщество ВКонтакте, включи в нём сообщения, получи ключ доступа с правами на сооб
   6203 |    957 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-bash">pip install maxapi<
   6220 |    958 | SA      | true   | None    | <p>Исходный код для этого задания:</p><pre><code class="language-bash">pip install maxapi<
   6341 |   1095 | SA_COM  | false  | None    | МИССИЯ 1 «Рабочая среда». Настрой основную дорожку Claude Code, дай агенту маленькое задан
   6342 |   1095 | SA_COM  | false  | None    | МИССИЯ 2 «Свой CLAUDE.md + первый запрос к API». Напиши CLAUDE.md для своего проекта (стек
   6343 |   1095 | SA_COM  | false  | None    | МИССИЯ 3 «Безопасная настройка». На своём проекте сделай .env с секретом, .env.example без
   6393 |   1103 | SA_COM  | false  | None    | МИССИЯ 1 «Рабочий бот». С помощью Claude Code собери бота сбора заявок: приём заявки по ша
   6394 |   1103 | SA_COM  | false  | None    | МИССИЯ 2 «Круглосуточно». Задеплой своего бота на Railway (или другой сервис), чтобы он ра
   6395 |   1103 | SA_COM  | false  | None    | МИССИЯ 3 «Кейс и цена». Упакуй кейс своего бота по схеме из 5 строк (проблема, решение, ре
   6447 |   1110 | SA_COM  | false  | None    | МИССИЯ 1 «Поток». С помощью Claude Code собери интеграцию: вебхук на FastAPI принимает зая
   6448 |   1110 | SA_COM  | false  | None    | МИССИЯ 2 «Деньги». Посчитай ROI для своего кейса: сколько часов в месяц клиент тратит на р
   6449 |   1110 | SA_COM  | false  | None    | МИССИЯ 3 «Кейс». Упакуй кейс интеграции по схеме из 5 строк (проблема, решение, результат,
   6463 |   1119 | SA_COM  | false  | None    | МИССИЯ 1 «Парсер с историей». С помощью Claude Code собери парсер открытого каталога (http
   6464 |   1119 | SA_COM  | false  | None    | МИССИЯ 2 «AI-отчёт». Подключи Claude API (Haiku): пусть он по изменениям из базы напишет к
   6465 |   1119 | SA_COM  | false  | None    | МИССИЯ 3 «Подписка». Оформи предложение клиенту: настройка + подписка за источник + AI-отч
   6517 |   1127 | SA_COM  | false  | None    | МИССИЯ 1 «CRUD». С помощью Claude Code собери админку на FastAPI + Jinja2: список заявок (
   6518 |   1127 | SA_COM  | false  | None    | МИССИЯ 2 «Вход и роли». Добавь вход по логину (пароль храни хешем) и роли: админ, менеджер
   6646 |   1137 | SA_COM  | false  | None    | МИССИЯ 1 «Дашборд». С помощью Claude Code собери дашборд (FastAPI + Jinja2 + Chart.js): 5–
   6647 |   1137 | SA_COM  | false  | None    | МИССИЯ 2 «AI-инсайт». Подключи Claude API (Haiku): пусть по KPI и динамике напишет вывод в
   6648 |   1137 | SA_COM  | false  | None    | МИССИЯ 3 «Деньги». Посчитай ROI дашборда (сколько часов в месяц руководитель экономит на о
   6661 |   1144 | SA_COM  | false  | None    | МИССИЯ 1 «Проверка идеи». Сформулируй идею продукта и проверь её ДО кода: опиши три гипоте
   6662 |   1144 | SA_COM  | false  | None    | МИССИЯ 2 «Собери MVP». С помощью Claude Code собери маленький, но законченный MVP (регистр
   6663 |   1144 | SA_COM  | false  | None    | МИССИЯ 3 «Экономика». Посчитай юнит-экономику своего MVP: доход с платящих минус расходы, 
   6677 |   1151 | SA_COM  | false  | None    | МИССИЯ 1 «AI-ассистент». Выбери нишу и с помощью Claude Code собери AI-ассистента: интерфе
   6678 |   1151 | SA_COM  | false  | None    | МИССИЯ 2 «Защита». Добавь три защиты: ограничение запросов, фильтрацию персональных данных
   6679 |   1151 | SA_COM  | false  | None    | МИССИЯ 3 «Экономика и цена». Посчитай юнит-экономику своего ассистента (расход на API прот
